"";"Município";"dom";"int";"cod_mun"
"1938";"gonçalves dias";0;0;"2104404"
"1939";"gongogi";0;0;"2911501"
"1940";"gonzaga";0;0;"3127503"
"1941";"gouveia";0;0;"3127602"
"1942";"gouvelândia";0;0;"5209150"
"1943";"governador archer";0;0;"2104503"
"1944";"governador celso ramos";0;0;"4206009"
"1945";"governador dix-sept rosado";0;0;"2404309"
"1946";"governador edison lobão";0;0;"2104552"
"1947";"governador eugênio barros";0;0;"2104602"
"1948";"governador jorge teixeira";0;0;"1101005"
"1949";"governador lindenberg";0;0;"3202256"
"1950";"governador luiz rocha";0;0;"2104628"
"1951";"governador mangabeira";0;0;"2911600"
"1952";"governador newton bello";0;0;"2104651"
"1953";"governador nunes freire";0;0;"2104677"
"1954";"governador valadares";28;0;"3127701"
"1955";"graça";0;0;"2304657"
"1956";"graça aranha";0;0;"2104701"
"1957";"gracho cardoso";0;0;"2802601"
"1958";"grajaú";0;0;"2104800"
"1959";"gramado";0;0;"4309100"
"1960";"gramado dos loureiros";0;0;"4309126"
"1961";"gramado xavier";0;0;"4309159"
"1962";"grandes rios";0;0;"4108700"
"1963";"granito";0;0;"2606309"
"1964";"granja";0;0;"2304707"
"1965";"granjeiro";0;0;"2304806"
"1966";"grão mogol";0;0;"3127800"
"1967";"grão pará";0;0;"4206108"
"1968";"gravatá";0;0;"2606408"
"1969";"gravataí";0;0;"4309209"
"1970";"gravatal";0;0;"4206207"
"1971";"groaíras";0;0;"2304905"
"1972";"grossos";0;0;"2404408"
"1973";"grupiara";0;0;"3127909"
"1974";"guabiju";0;0;"4309258"
"1975";"guabiruba";0;0;"4206306"
"1976";"guaçuí";0;0;"3202306"
"1977";"guadalupe";0;0;"2204501"
"1978";"guaíba";0;0;"4309308"
"1979";"guaiçara";0;0;"3517208"
"1980";"guaimbê";0;0;"3517307"
"1981";"guaíra";8;0;"4108809"
"1982";"guaíra";8;0;"3517406"
"1983";"guairaçá";0;0;"4108908"
"1984";"guaiúba";0;0;"2304954"
"1985";"guajará";0;0;"1301654"
"1986";"guajará-mirim";0;0;"1100106"
"1987";"guajeru";0;0;"2911659"
"1988";"guamaré";0;0;"2404507"
"1989";"guamiranga";0;0;"4108957"
"1990";"guanambi";0;0;"2911709"
"1991";"guanhães";0;0;"3128006"
"1992";"guapé";0;0;"3128105"
"1993";"guapiaçu";0;0;"3517505"
"1994";"guapiara";0;0;"3517604"
"1995";"guapimirim";0;0;"3301850"
"1996";"guapirama";0;0;"4109005"
"1997";"guapó";0;0;"5209200"
"1998";"guaporé";0;0;"4309407"
"1999";"guaporema";0;0;"4109104"
"2000";"guará";0;0;"3517703"
"2001";"guarabira";0;0;"2506301"
"2002";"guaraçaí";0;0;"3517802"
"2003";"guaraci";0;0;"3517901"
"2004";"guaraci";0;0;"4109203"
"2005";"guaraciaba";0;0;"3128204"
"2006";"guaraciaba";0;0;"4206405"
"2007";"guaraciaba do norte";0;0;"2305001"
"2008";"guaraciama";0;0;"3128253"
"2009";"guaraí";0;0;"1709302"
"2010";"guaraíta";0;0;"5209291"
"2011";"guaramiranga";0;0;"2305100"
"2012";"guaramirim";0;0;"4206504"
"2013";"guaranésia";0;0;"3128303"
"2014";"guarani";0;0;"3128402"
"2015";"guarani d'oeste";0;0;"3518008"
"2016";"guarani das missões";0;0;"4309506"
"2017";"guarani de goiás";0;0;"5209408"
"2018";"guaraniaçu";0;0;"4109302"
"2019";"guarantã";0;0;"3518107"
"2020";"guarantã do norte";0;0;"5104104"
"2021";"guarapari";0;0;"3202405"
"2022";"guarapuava";5;0;"4109401"
"2023";"guaraqueçaba";0;0;"4109500"
"2024";"guarará";0;0;"3128501"
"2025";"guararapes";0;0;"3518206"
"2026";"guararema";0;0;"3518305"
"2027";"guaratinga";0;0;"2911808"
"2028";"guaratinguetá";0;0;"3518404"
"2029";"guaratuba";0;0;"4109609"
"2030";"guarda-mor";0;0;"3128600"
"2031";"guareí";0;0;"3518503"
"2032";"guariba";0;0;"3518602"
"2033";"guaribas";0;0;"2204550"
"2034";"guarinos";0;0;"5209457"
"2035";"guarujá";0;0;"3518701"
"2036";"guarujá do sul";0;0;"4206603"
"2037";"guarulhos";0;0;"3518800"
"2038";"guatambú";0;0;"4206652"
"2039";"guatapará";0;0;"3518859"
"2040";"guaxupé";0;0;"3128709"
"2041";"guia lopes da laguna";0;0;"5004106"
"2042";"guidoval";0;0;"3128808"
"2043";"guimarães";0;0;"2104909"
"2044";"guimarânia";0;0;"3128907"
"2045";"guiratinga";0;0;"5104203"
"2046";"guiricema";0;0;"3129004"
"2047";"gurinhatã";0;0;"3129103"
"2048";"gurinhém";0;0;"2506400"
"2049";"gurjão";0;0;"2506509"
"2050";"gurupá";0;0;"1503101"
"2051";"gurupi";0;0;"1709500"
"2052";"guzolândia";0;0;"3518909"
"2053";"harmonia";0;0;"4309555"
"2054";"heitoraí";0;0;"5209606"
"2055";"heliodora";0;0;"3129202"
"2056";"heliópolis";0;0;"2911857"
"2057";"herculândia";0;0;"3519006"
"2058";"herval";0;0;"4307104"
"2059";"herval d'oeste";0;0;"4206702"
"2060";"herveiras";0;0;"4309571"
"2061";"hidrolândia";0;0;"2305209"
"2062";"hidrolândia";0;0;"5209705"
"2063";"hidrolina";0;0;"5209804"
"2064";"holambra";0;0;"3519055"
"2065";"honório serpa";0;0;"4109658"
"2066";"horizonte";0;0;"2305233"
"2067";"horizontina";0;0;"4309605"
"2068";"hortolândia";0;0;"3519071"
"2069";"hugo napoleão";0;0;"2204600"
"2070";"hulha negra";0;0;"4309654"
"2071";"humaitá";0;0;"1301704"
"2072";"humaitá";0;0;"4309704"
"2073";"humberto de campos";0;0;"2105005"
"2074";"iacanga";0;0;"3519105"
"2075";"iaciara";0;0;"5209903"
"2076";"iacri";0;0;"3519204"
"2077";"iaçu";0;0;"2911907"
"2078";"iapu";0;0;"3129301"
"2079";"iaras";0;0;"3519253"
"2080";"iati";0;0;"2606507"
"2081";"ibaiti";0;0;"4109708"
"2082";"ibarama";0;0;"4309753"
"2083";"ibaretama";0;0;"2305266"
"2084";"ibaté";0;0;"3519303"
"2085";"ibateguara";0;0;"2703007"
"2086";"ibatiba";0;0;"3202454"
"2087";"ibema";0;0;"4109757"
"2088";"ibertioga";0;0;"3129400"
"2089";"ibiá";0;0;"3129509"
"2090";"ibiaçá";0;0;"4309803"
"2091";"ibiaí";0;0;"3129608"
"2092";"ibiam";0;0;"4206751"
"2093";"ibiapina";0;0;"2305308"
"2094";"ibiara";0;0;"2506608"
"2095";"ibiassucê";0;0;"2912004"
"2096";"ibicaraí";0;0;"2912103"
"2097";"ibicaré";0;0;"4206801"
"2098";"ibicoara";0;0;"2912202"
"2099";"ibicuí";0;0;"2912301"
"2100";"ibicuitinga";0;0;"2305332"
"2101";"ibimirim";0;0;"2606606"
"2102";"ibipeba";0;0;"2912400"
"2103";"ibipitanga";0;0;"2912509"
"2104";"ibiporã";0;0;"4109807"
"2105";"ibiquera";0;0;"2912608"
"2106";"ibirá";0;0;"3519402"
"2107";"ibiracatu";0;0;"3129657"
"2108";"ibiraci";0;0;"3129707"
